TIME	INTERVALO	Abertura Valvula
0.000	0.000	100.000000
0.000	1.000	100.000000
1.000	1.000	100.000000
2.000	1.000	100.000000
3.000	1.000	100.000000
4.000	1.000	100.000000
5.000	1.000	100.000000
6.000	1.000	100.000000
7.000	1.000	100.000000
8.000	1.000	100.000000
9.000	1.000	100.000000
10.000	1.000	100.000000
11.000	1.000	100.000000
12.000	1.000	100.000000
13.000	1.000	100.000000
14.000	1.000	100.000000
15.000	1.000	100.000000
16.000	1.000	100.000000
17.000	1.000	100.000000
18.000	1.000	100.000000
19.000	1.000	100.000000
20.000	1.000	100.000000
21.000	1.000	100.000000
22.000	1.000	100.000000
23.000	1.000	100.000000
24.000	1.000	100.000000
25.000	1.000	100.000000
26.000	1.000	100.000000
27.000	1.000	100.000000
28.000	1.000	100.000000
29.000	1.000	100.000000
30.000	1.000	100.000000
31.000	1.000	100.000000
32.000	1.000	100.000000
33.000	1.000	100.000000
34.000	1.000	100.000000
35.000	1.000	100.000000
36.000	1.000	100.000000
37.000	1.000	100.000000
38.000	1.000	100.000000
39.000	1.000	100.000000
40.000	1.000	100.000000
41.000	1.000	100.000000
42.000	1.000	100.000000
43.000	1.000	100.000000
44.000	1.000	100.000000
45.000	1.000	100.000000
46.000	1.000	100.000000
47.000	1.000	100.000000
48.000	1.000	100.000000
49.000	1.000	100.000000
50.000	1.000	100.000000
51.000	1.000	100.000000
52.000	1.000	100.000000
53.000	1.000	100.000000
54.000	1.000	100.000000
55.000	1.000	100.000000
56.000	1.000	100.000000
57.000	1.000	100.000000
58.000	1.000	100.000000
59.000	1.000	100.000000
60.000	1.000	100.000000
61.000	1.000	100.000000
62.000	1.000	100.000000
63.000	1.000	100.000000
64.000	1.000	100.000000
65.000	1.000	100.000000
66.000	1.000	100.000000
67.000	1.000	100.000000
68.000	1.000	100.000000
69.000	1.000	100.000000
70.000	1.000	100.000000
71.000	1.000	100.000000
72.000	1.000	100.000000
73.000	1.000	100.000000
74.000	1.000	100.000000
75.000	1.000	100.000000
76.000	1.000	100.000000
77.000	1.000	100.000000
78.000	1.000	100.000000
79.000	1.000	100.000000
80.000	1.000	100.000000
81.000	1.000	100.000000
82.000	1.000	100.000000
83.000	1.000	100.000000
84.000	1.000	100.000000
85.000	1.000	100.000000
86.000	1.000	100.000000
87.000	1.000	100.000000
88.000	1.000	100.000000
89.000	1.000	100.000000
90.000	1.000	100.000000
91.000	1.000	100.000000
92.000	1.000	100.000000
93.000	1.000	100.000000
94.000	1.000	100.000000
95.000	1.000	100.000000
96.000	1.000	100.000000
97.000	1.000	100.000000
98.000	1.000	100.000000
99.000	1.000	100.000000
100.000	1.000	100.000000
101.000	1.000	100.000000
102.000	1.000	100.000000
103.000	1.000	100.000000
104.000	1.000	100.000000
105.000	1.000	100.000000
106.000	1.000	100.000000
107.000	1.000	100.000000
108.000	1.000	100.000000
109.000	1.000	100.000000
110.000	1.000	98.319756
111.000	1.000	98.319756
112.000	1.000	98.319756
113.000	1.000	98.319756
114.000	1.000	98.319756
115.000	1.000	98.319756
116.000	1.000	88.907471
117.000	1.000	88.907471
118.000	1.000	83.801315
119.000	1.000	79.323799
120.000	1.000	74.356415
121.000	1.000	74.356415
122.000	1.000	69.874176
123.000	1.000	66.093262
124.000	1.000	62.410366
125.000	1.000	62.410366
126.000	1.000	62.410366
127.000	1.000	59.158005
128.000	1.000	57.090343
129.000	1.000	57.090343
130.000	1.000	55.360138
131.000	1.000	53.355419
132.000	1.000	51.598454
133.000	1.000	51.598454
134.000	1.000	49.128593
135.000	1.000	45.795082
136.000	1.000	44.227375
137.000	1.000	44.227375
138.000	1.000	44.227375
139.000	1.000	41.343678
140.000	1.000	41.343678
141.000	1.000	38.194908
142.000	1.000	38.194908
143.000	1.000	38.194908
144.000	1.000	34.480442
145.000	1.000	32.788013
146.000	1.000	32.788013
147.000	1.000	31.103539
148.000	1.000	28.816032
149.000	1.000	28.816032
150.000	1.000	28.816032
151.000	1.000	25.964153
152.000	1.000	26.387608
153.000	1.000	24.039196
154.000	1.000	24.039196
155.000	1.000	23.485613
156.000	1.000	22.996807
157.000	1.000	22.347855
158.000	1.000	22.347855
159.000	1.000	22.347855
160.000	1.000	22.347855
161.000	1.000	22.347855
162.000	1.000	22.347855
163.000	1.000	22.347855
164.000	1.000	22.347855
165.000	1.000	22.347855
166.000	1.000	22.347057
167.000	1.000	22.347057
168.000	1.000	21.798182
169.000	1.000	21.798182
170.000	1.000	21.798182
171.000	1.000	21.415913
172.000	1.000	21.415913
173.000	1.000	21.415913
174.000	1.000	21.415913
175.000	1.000	21.415913
