TIME	INTERVALO	Temp Tanque 2
212.000	1.000	24.759319
213.000	1.000	24.759319
214.000	1.000	24.770695
215.000	1.000	24.775194
216.000	1.000	24.777756
217.000	1.000	24.777756
218.000	1.000	24.792538
219.000	1.000	24.788374
220.000	1.000	24.795195
221.000	1.000	24.795195
222.000	1.000	24.795195
223.000	1.000	24.804762
224.000	1.000	24.815254
225.000	1.000	24.815254
226.000	1.000	24.808083
227.000	1.000	24.813633
228.000	1.000	24.820175
229.000	1.000	24.820175
230.000	1.000	24.824657
231.000	1.000	24.820932
232.000	1.000	24.824345
233.000	1.000	24.824345
234.000	1.000	24.824345
235.000	1.000	24.835754
236.000	1.000	24.840494
237.000	1.000	24.839905
238.000	1.000	24.839905
239.000	1.000	24.837009
240.000	1.000	24.843609
241.000	1.000	24.831022
242.000	1.000	24.831022
243.000	1.000	24.830431
244.000	1.000	24.828480
245.000	1.000	24.828480
246.000	1.000	24.828480
247.000	1.000	24.828829
248.000	1.000	24.828588
249.000	1.000	24.830910
250.000	1.000	24.830910
251.000	1.000	24.831539
252.000	1.000	24.832865
253.000	1.000	24.858046
254.000	1.000	24.858046
255.000	1.000	24.853973
256.000	1.000	24.861422
257.000	1.000	24.869734
258.000	1.000	24.869734
259.000	1.000	24.869734
260.000	1.000	24.872612
261.000	1.000	24.874418
262.000	1.000	24.874418
263.000	1.000	24.874693
264.000	1.000	24.876518
265.000	1.000	24.857569
266.000	1.000	24.857569
267.000	1.000	24.865124
268.000	1.000	24.862728
269.000	1.000	24.862728
270.000	1.000	24.865215
271.000	1.000	24.865215
272.000	1.000	24.868498
273.000	1.000	24.876278
274.000	1.000	24.881496
275.000	1.000	24.881496
276.000	1.000	24.875465
277.000	1.000	24.892742
278.000	1.000	24.894623
279.000	1.000	24.894623
280.000	1.000	24.897814
281.000	1.000	24.897814
282.000	1.000	24.902550
283.000	1.000	24.902550
284.000	1.000	24.904228
285.000	1.000	24.907785
286.000	1.000	24.904339
287.000	1.000	24.904339
288.000	1.000	24.901773
289.000	1.000	24.882290
290.000	1.000	24.889849
291.000	1.000	24.889849
292.000	1.000	24.886881
293.000	1.000	24.886881
294.000	1.000	24.876097
295.000	1.000	24.875929
296.000	1.000	24.875929
297.000	1.000	24.880116
298.000	1.000	24.883471
299.000	1.000	24.888779
300.000	1.000	24.888779
301.000	1.000	24.884539
302.000	1.000	24.903971
303.000	1.000	24.903971
304.000	1.000	24.903971
305.000	1.000	24.902199
306.000	1.000	24.900337
307.000	1.000	24.906807
308.000	1.000	24.906807
309.000	1.000	24.917334
310.000	1.000	24.918608
311.000	1.000	24.926441
312.000	1.000	24.926441
313.000	1.000	24.924543
314.000	1.000	24.940672
315.000	1.000	24.947435
316.000	1.000	24.947435
317.000	1.000	24.947435
318.000	1.000	24.950478
319.000	1.000	24.944487
320.000	1.000	24.944708
321.000	1.000	24.944708
322.000	1.000	24.948267
323.000	1.000	24.947067
