TIME	INTERVALO	Temp Tanque 2
212.000	1.000	26.406456
213.000	1.000	26.406456
214.000	1.000	26.407251
215.000	1.000	26.412457
216.000	1.000	26.412457
217.000	1.000	26.411612
218.000	1.000	26.405392
219.000	1.000	26.414576
220.000	1.000	26.414576
221.000	1.000	26.417965
222.000	1.000	26.418995
223.000	1.000	26.418995
224.000	1.000	26.428532
225.000	1.000	26.428532
226.000	1.000	26.430187
227.000	1.000	26.438656
228.000	1.000	26.438656
229.000	1.000	26.440292
230.000	1.000	26.445631
231.000	1.000	26.445889
232.000	1.000	26.445889
233.000	1.000	26.454210
234.000	1.000	26.456457
235.000	1.000	26.456457
236.000	1.000	26.458628
237.000	1.000	26.458628
238.000	1.000	26.460430
239.000	1.000	26.473629
240.000	1.000	26.469124
241.000	1.000	26.469124
242.000	1.000	26.472267
243.000	1.000	26.473669
244.000	1.000	26.465841
245.000	1.000	26.465841
246.000	1.000	26.463615
247.000	1.000	26.463615
248.000	1.000	26.459566
249.000	1.000	26.459566
250.000	1.000	26.458904
251.000	1.000	26.490911
252.000	1.000	26.494539
253.000	1.000	26.494539
254.000	1.000	26.498163
255.000	1.000	26.498308
256.000	1.000	26.503372
257.000	1.000	26.503372
258.000	1.000	26.503372
259.000	1.000	26.503498
260.000	1.000	26.504108
261.000	1.000	26.504919
262.000	1.000	26.504919
263.000	1.000	26.509300
264.000	1.000	26.511856
265.000	1.000	26.509869
266.000	1.000	26.509869
267.000	1.000	26.515024
268.000	1.000	26.515228
269.000	1.000	26.515228
270.000	1.000	26.515228
271.000	1.000	26.515705
272.000	1.000	26.523531
273.000	1.000	26.523914
274.000	1.000	26.523914
275.000	1.000	26.522068
276.000	1.000	26.521332
277.000	1.000	26.522913
278.000	1.000	26.522913
279.000	1.000	26.522139
280.000	1.000	26.519617
281.000	1.000	26.521311
282.000	1.000	26.521311
283.000	1.000	26.521311
284.000	1.000	26.516672
285.000	1.000	26.517153
286.000	1.000	26.517153
287.000	1.000	26.482222
288.000	1.000	26.490944
289.000	1.000	26.497980
290.000	1.000	26.497980
291.000	1.000	26.507202
292.000	1.000	26.508028
293.000	1.000	26.508028
294.000	1.000	26.509724
295.000	1.000	26.509724
296.000	1.000	26.511747
297.000	1.000	26.510847
298.000	1.000	26.544228
299.000	1.000	26.544228
300.000	1.000	26.548719
301.000	1.000	26.541155
302.000	1.000	26.548185
303.000	1.000	26.548185
304.000	1.000	26.557884
305.000	1.000	26.557884
306.000	1.000	26.554832
307.000	1.000	26.554832
308.000	1.000	26.548538
309.000	1.000	26.553709
310.000	1.000	26.559765
311.000	1.000	26.559765
312.000	1.000	26.558622
313.000	1.000	26.565653
314.000	1.000	26.559063
315.000	1.000	26.559063
316.000	1.000	26.562469
317.000	1.000	26.562469
318.000	1.000	26.566740
319.000	1.000	26.568249
320.000	1.000	26.568249
321.000	1.000	26.567619
322.000	1.000	26.564861
323.000	1.000	26.564861
324.000	1.000	26.551420
325.000	1.000	26.548458
326.000	1.000	26.547203
327.000	1.000	26.547203
328.000	1.000	26.547203
329.000	1.000	26.551216
330.000	1.000	26.541868
331.000	1.000	26.546854
332.000	1.000	26.546854
333.000	1.000	26.552561
334.000	1.000	26.547203
335.000	1.000	26.558060
336.000	1.000	26.558060
337.000	1.000	26.553514
338.000	1.000	26.549778
339.000	1.000	26.549778
340.000	1.000	26.549778
341.000	1.000	26.551910
342.000	1.000	26.548820
343.000	1.000	26.548655
344.000	1.000	26.548655
345.000	1.000	26.546665
346.000	1.000	26.552811
347.000	1.000	26.554737
348.000	1.000	26.554737
349.000	1.000	26.562544
350.000	1.000	26.563076
351.000	1.000	26.567715
352.000	1.000	26.567715
353.000	1.000	26.567715
354.000	1.000	26.560980
355.000	1.000	26.561367
356.000	1.000	26.551777
357.000	1.000	26.551777
358.000	1.000	26.558146
359.000	1.000	26.539457
360.000	1.000	26.539457
